iter	Passed	Remaining
469	715	807
470	716	805
471	718	803
472	720	802
473	722	801
474	723	799
475	724	797
476	725	795
477	727	793
478	728	792
479	729	790
480	730	788
481	731	786
482	732	784
483	734	782
484	735	780
485	736	778
486	737	776
487	739	775
488	741	774
489	742	772
490	744	771
491	745	769
492	746	767
493	747	765
494	748	763
495	749	761
496	750	759
497	751	757
498	752	755
499	753	753
500	755	752
501	757	751
502	759	750
503	760	748
504	761	745
505	762	744
506	764	743
507	766	742
508	767	740
509	768	738
510	769	736
511	770	734
512	772	733
513	773	731
514	776	730
515	777	729
516	778	727
517	779	725
518	780	723
519	782	721
520	783	719
521	784	718
522	785	716
523	786	714
524	787	712
525	788	710
526	789	708
527	790	706
528	791	704
529	792	702
530	793	700
531	794	698
532	795	696
533	796	694
534	796	692
535	797	690
536	798	688
537	799	686
538	801	685
539	802	683
540	803	681
541	804	679
542	805	677
543	806	675
544	807	673
545	808	672
546	809	670
547	810	668
548	811	666
549	812	664
550	813	662
551	814	661
552	815	659
553	817	657
554	818	656
555	819	654
556	820	652
557	821	650
558	822	648
559	823	647
560	824	645
561	825	643
562	826	641
563	827	639
564	828	637
565	829	635
566	830	634
567	831	632
568	833	631
569	833	629
570	834	627
571	835	625
572	836	623
573	837	621
574	838	619
575	839	617
576	840	615
577	841	614
578	842	612
579	843	610
580	844	608
581	845	607
582	846	605
583	847	603
584	848	601
585	849	600
586	850	598
587	851	596
588	851	594
589	853	593
590	854	591
591	855	589
592	856	587
593	857	586
594	858	584
595	859	582
596	860	581
597	862	579
598	863	578
599	864	576
600	865	574
601	866	573
602	868	571
603	869	569
604	870	568
605	871	566
606	872	564
607	873	563
608	874	561
609	875	559
610	876	558
611	877	556
612	878	554
613	879	553
614	880	551
615	881	549
616	883	548
617	883	546
618	884	544
619	885	542
620	886	541
621	887	539
622	888	537
623	889	536
624	891	534
625	892	533
626	893	531
627	894	529
628	895	528
629	896	526
630	897	524
631	898	523
632	900	521
633	901	520
634	902	518
635	903	517
636	905	516
637	906	514
638	908	513
639	909	511
640	911	510
641	912	508
642	913	507
643	915	505
644	916	504
645	917	502
646	918	501
647	919	499
648	921	498
649	923	497
650	924	495
651	925	494
652	926	492
653	928	491
654	929	489
655	930	488
656	931	486
657	932	484
658	934	483
659	935	481
660	936	480
661	937	478
662	938	477
663	940	475
664	941	474
665	942	472
666	943	471
667	945	469
668	946	468
669	947	466
670	948	464
671	949	463
672	950	461
673	952	460
674	953	459
675	954	457
676	955	455
677	956	454
678	957	452
679	958	451
680	959	449
681	960	447
682	961	446
683	962	444
684	963	442
685	964	441
686	965	439
687	966	438
688	968	437
689	969	435
690	970	433
691	970	432
692	971	430
693	973	429
694	973	427
695	974	425
696	975	424
697	976	422
698	977	420
699	978	419
700	979	417
701	980	416
702	981	414
703	982	413
704	983	411
705	984	410
706	985	408
707	986	407
708	987	405
709	988	403
710	989	402
711	990	400
712	991	399
713	992	397
714	993	396
715	994	394
716	995	393
717	997	391
718	998	390
719	1000	388
720	1001	387
721	1002	385
722	1003	384
723	1004	382
724	1005	381
725	1006	379
726	1007	378
727	1008	376
728	1009	375
729	1010	373
730	1012	372
731	1013	371
732	1014	369
733	1015	368
734	1016	366
735	1017	364
736	1018	363
737	1019	361
738	1020	360
739	1021	358
740	1022	357
741	1022	355
742	1024	354
743	1025	352
744	1026	351
745	1027	349
746	1028	348
747	1029	346
748	1030	345
749	1031	343
750	1032	342
751	1033	340
752	1034	339
753	1035	337
754	1035	336
755	1036	334
756	1037	333
757	1038	331
758	1039	330
759	1040	328
760	1042	327
761	1043	325
762	1044	324
763	1045	322
764	1046	321
765	1047	319
766	1048	318
767	1049	316
768	1049	315
769	1050	313
770	1051	312
771	1052	310
772	1053	309
773	1053	307
774	1055	306
775	1057	305
776	1058	303
777	1059	302
778	1060	300
779	1061	299
780	1062	297
781	1063	296
782	1063	294
783	1064	293
